"person_id","Name","religion_id","religion_name","ceda_id","ceda_name","person_ceda_first_year","person_ceda_last_year"
2233,William Spicer Wood,1,Quaker,2,APS,1864,1867
2233,William Spicer Wood,1,Quaker,4,ASL,1863,1871
2233,William Spicer Wood,1,Quaker,6,AI,1863,1871
2211,William Wilson,1,Quaker,2,APS,1838,1865
2211,William Wilson,1,Quaker,4,ASL,1865,1866
2208,James Wilson,1,Quaker,2,APS,1862,1867
2208,James Wilson,1,Quaker,4,ASL,1865,1865
2108,E T Wakefield,1,Quaker,2,APS,1853,1864
2108,E T Wakefield,1,Quaker,4,ASL,1865,1868
2108,E T Wakefield,1,Quaker,7,HOD,"",""
1744,John Ross,1,Quaker,2,APS,1839,1852
1744,John Ross,1,Quaker,7,HOD,"",""
1725,J Robinson,1,Quaker,2,APS,1839,1840
1725,J Robinson,1,Quaker,4,ASL,1865,1865
1725,J Robinson,1,Quaker,7,HOD,"",""
1216,William Horton Lloyd,1,Quaker,2,APS,1862,1862
1216,William Horton Lloyd,1,Quaker,3,ESL,1844,1847
1207,Joseph Lister,1,Quaker,2,APS,1851,1855
1207,Joseph Lister,1,Quaker,3,ESL,1844,1847
1207,Joseph Lister,1,Quaker,7,HOD,"",""
1021,Jonathan Hutchinson,1,Quaker,2,APS,1857,1866
1021,Jonathan Hutchinson,1,Quaker,4,ASL,1863,1871
1021,Jonathan Hutchinson,1,Quaker,6,AI,1863,1871
979,William Holmes,1,Quaker,2,APS,1840,1867
979,William Holmes,1,Quaker,4,ASL,1865,1869
967,Thomas (1) Hodgkin,1,Quaker,1,QCA,1839,1847
967,Thomas (1) Hodgkin,1,Quaker,2,APS,1838,1866
967,Thomas (1) Hodgkin,1,Quaker,3,ESL,1844,1862
967,Thomas (1) Hodgkin,1,Quaker,7,HOD,"",""
967,Thomas (1) Hodgkin,1,Quaker,7,HOD,"",""
853,John Henry Gurney,1,Quaker,2,APS,1851,1860
853,John Henry Gurney,1,Quaker,3,ESL,1860,1867
776,George Stacey Gibson,1,Quaker,2,APS,1851,1863
776,George Stacey Gibson,1,Quaker,4,ASL,1864,1866
732,Charles Henry Fox,1,Quaker,2,APS,1838,1852
732,Charles Henry Fox,1,Quaker,3,ESL,1861,1871
732,Charles Henry Fox,1,Quaker,6,AI,1861,1871
731,William Fowler,1,Quaker,2,APS,1860,1867
731,William Fowler,1,Quaker,3,ESL,1851,1851
730,Robert Nicholas Fowler,1,Quaker,2,APS,1851,1867
