Name,religion_name,ceda_name,first_year,last_year
William Spicer Wood,Quaker,ASL,1863,1871
William Wilson,Quaker,ASL,1865,1866
James Wilson,Quaker,ASL,1865,1865
E T Wakefield,Quaker,ASL,1865,1868
J Robinson,Quaker,ASL,1865,1865
Jonathan Hutchinson,Quaker,ASL,1863,1871
William Holmes,Quaker,ASL,1865,1869
George Stacey Gibson,Quaker,ASL,1864,1866
James T J Doyle,Quaker,ASL,1865,1868
Henry Crowley,Quaker,ASL,1864,1871
William Bull,Quaker,ASL,1867,1871
Antonio Brady,Quaker,ASL,1864,1871
S  Stafford Allen,Quaker,ASL,1863,1870
