Name,religion_name,ceda_name,first_year,last_year
William Horton Lloyd,Quaker,ESL,1844,1847
Joseph Lister,Quaker,ESL,1844,1847
Thomas (1) Hodgkin,Quaker,ESL,1844,1862
John Henry Gurney,Quaker,ESL,1860,1867
Charles Henry Fox,Quaker,ESL,1861,1871
William Fowler,Quaker,ESL,1851,1851
Robert Nicholas Fowler,Quaker,ESL,1851,1871
David Dale,Quaker,ESL,1860,1863
x Collier,Quaker,ESL,1844,1844
William Clay,Quaker,ESL,1861,1868
Henry Christy,Quaker,ESL,1854,1865
James Bell,Quaker,ESL,1852,1862
James (1) Backhouse,Quaker,ESL,1869,1869
Edward Backhouse,Quaker,ESL,1870,1871
William Aldam,Quaker,ESL,1844,1848
