Name,religion_name,ceda_name,first_year,last_year
William Spicer Wood,Quaker,APS,1864,1867
William Spicer Wood,Quaker,ASL,1863,1871
William Spicer Wood,Quaker,AI,1863,1871
William Wilson,Quaker,APS,1838,1865
William Wilson,Quaker,ASL,1865,1866
James Wilson,Quaker,APS,1862,1867
James Wilson,Quaker,ASL,1865,1865
E T Wakefield,Quaker,APS,1853,1864
E T Wakefield,Quaker,ASL,1865,1868
John Ross,Quaker,APS,1839,1852
J Robinson,Quaker,APS,1839,1840
J Robinson,Quaker,ASL,1865,1865
William Horton Lloyd,Quaker,APS,1862,1862
William Horton Lloyd,Quaker,ESL,1844,1847
Joseph Lister,Quaker,APS,1851,1855
Joseph Lister,Quaker,ESL,1844,1847
Jonathan Hutchinson,Quaker,APS,1857,1866
Jonathan Hutchinson,Quaker,ASL,1863,1871
Jonathan Hutchinson,Quaker,AI,1863,1871
William Holmes,Quaker,APS,1840,1867
William Holmes,Quaker,ASL,1865,1869
Thomas (1) Hodgkin,Quaker,QCA,1839,1847
Thomas (1) Hodgkin,Quaker,APS,1838,1866
Thomas (1) Hodgkin,Quaker,ESL,1844,1862
John Henry Gurney,Quaker,APS,1851,1860
John Henry Gurney,Quaker,ESL,1860,1867
George Stacey Gibson,Quaker,APS,1851,1863
George Stacey Gibson,Quaker,ASL,1864,1866
Charles Henry Fox,Quaker,APS,1838,1852
Charles Henry Fox,Quaker,ESL,1861,1871
Charles Henry Fox,Quaker,AI,1861,1871
William Fowler,Quaker,APS,1860,1867
William Fowler,Quaker,ESL,1851,1851
Robert Nicholas Fowler,Quaker,APS,1851,1867
Robert Nicholas Fowler,Quaker,ESL,1851,1871
Robert Nicholas Fowler,Quaker,AI,1851,1871
James T J Doyle,Quaker,APS,1839,1840
James T J Doyle,Quaker,ASL,1865,1868
David Dale,Quaker,APS,1864,1865
David Dale,Quaker,ESL,1860,1863
Henry Crowley,Quaker,APS,1851,1855
Henry Crowley,Quaker,ASL,1864,1871
Henry Crowley,Quaker,AI,1864,1871
x Collier,Quaker,APS,1860,1867
x Collier,Quaker,ESL,1844,1844
William Clay,Quaker,APS,1839,1868
William Clay,Quaker,ESL,1861,1868
Henry Christy,Quaker,APS,1840,1865
Henry Christy,Quaker,ESL,1854,1865
William Bull,Quaker,APS,1854,1854
William Bull,Quaker,ASL,1867,1871
William Bull,Quaker,AI,1867,1871
Antonio Brady,Quaker,APS,1861,1863
Antonio Brady,Quaker,ASL,1864,1871
Antonio Brady,Quaker,AI,1864,1871
James Bell,Quaker,APS,1847,1862
James Bell,Quaker,ESL,1852,1862
James (1) Backhouse,Quaker,APS,1851,1867
James (1) Backhouse,Quaker,ESL,1869,1869
Edward Backhouse,Quaker,APS,1839,1867
Edward Backhouse,Quaker,ESL,1870,1871
Edward Backhouse,Quaker,AI,1870,1871
S  Stafford Allen,Quaker,APS,1861,1867
S  Stafford Allen,Quaker,ASL,1863,1870
William Aldam,Quaker,APS,1838,1848
William Aldam,Quaker,ESL,1844,1848
Arthur Albright,Quaker,APS,1861,1867
Rachel Albright,Quaker,APS,1860,1867
William Albright,Quaker,APS,1852,1860
William Jun Aldam,Quaker,APS,1838,1851
Frederick Alexander,Quaker,APS,1839,1840
Samuel Allen,Quaker,APS,1851,1864
John Arch,Quaker,APS,1852,1854
R Arthington,Quaker,APS,1855,1862
R Jun Arthington,Quaker,APS,1860,1862
C Ashby,Quaker,APS,1860,1860
T Jun Ashby,Quaker,APS,1861,1862
Thomas Ashby,Quaker,APS,1861,1867
Thomas Jun Ashby,Quaker,APS,1865,1865
Catherine Backhouse,Quaker,APS,1851,1861
Jonathan Backhouse,Quaker,APS,1838,1851
S Baker,Quaker,APS,1839,1840
Robert Barclay,Quaker,APS,1838,1855
Richard Barrington,Quaker,APS,1864,1867
Edward Beck,Quaker,APS,1838,1859
Eliza Bell,Quaker,APS,1851,1867
Frederick J Bell,Quaker,APS,1851,1857
S S Bell,Quaker,APS,1857,1866
Samuel Bewley,Quaker,APS,1866,1867
x Biffin,Quaker,APS,1861,1861
J Binyon,Quaker,APS,1856,1857
E L Birkbeck,Quaker,APS,1866,1866
H Birkbeck,Quaker,APS,1860,1860
W Blaine,Quaker,APS,1861,1862
Elizabeth Bowley,Quaker,APS,1860,1867
Henry Brady,Quaker,APS,1866,1867
Charles L Braithwaite,Quaker,APS,1866,1866
L Braithwaite,Quaker,APS,1860,1860
Isaac Brown,Quaker,APS,1839,1867
Joshua Brown,Quaker,APS,1860,1867
Lydia Brown,Quaker,APS,1862,1867
Sarah Burgess,Quaker,APS,1866,1867
Thomas Burgess,Quaker,APS,1860,1861
W Catchpool,Quaker,APS,1855,1859
x Charleton,Quaker,APS,1860,1860
Samuel Clark,Quaker,APS,1839,1840
W Clemes,Quaker,APS,1853,1854
C Clothier,Quaker,APS,1860,1860
Joseph Cooper,Quaker,APS,1851,1867
George Crosfield,Quaker,APS,1838,1838
Joseph Crosland,Quaker,APS,1866,1867
A Crowley,Quaker,APS,1855,1863
A Dale,Quaker,APS,1861,1861
Elizabeth S Dawes,Quaker,APS,1867,1867
John Dodshon,Quaker,APS,1860,1867
Daniel Doncaster,Quaker,APS,1866,1867
Elizabeth Dyer,Quaker,APS,1860,1867
R Dymond,Quaker,APS,1862,1862
William Dyson,Quaker,APS,1864,1865
A Ellis,Quaker,APS,1860,1862
Thomas Evans,Quaker,APS,1860,1865
Ann Everett,Quaker,APS,1839,1861
Joseph Farden,Quaker,APS,1851,1866
John Fell,Quaker,APS,1852,1852
Mary Fell,Quaker,APS,1840,1840
S H Fisher,Quaker,APS,1855,1855
Caleb Fletcher,Quaker,APS,1854,1865
Martha Fletcher,Quaker,APS,1854,1855
John Ford,Quaker,APS,1854,1857
George Fox,Quaker,APS,1862,1867
Henry Fox,Quaker,APS,1862,1867
Robert Were Fox,Quaker,APS,1838,1867
x Fox,Quaker,APS,1861,1861
W Gayner,Quaker,APS,1855,1855
Joseph Gibbens,Quaker,APS,1860,1864
Ann Gibson,Quaker,APS,1860,1865
Francis Gibson,Quaker,APS,1840,1861
F  E Gibson,Quaker,APS,1860,1861
W G Gibson,Quaker,APS,1862,1862
T Gill,Quaker,APS,1861,1862
J Gillett,Quaker,APS,1863,1863
John Gillett,Quaker,APS,1860,1863
J Gilpin,Quaker,APS,1860,1862
James Gingell,Quaker,APS,1860,1862
John Good,Quaker,APS,1861,1867
Josiah Grace,Quaker,APS,1860,1861
Thomas Graham,Quaker,APS,1851,1858
John Green,Quaker,APS,1860,1863
T Gregory,Quaker,APS,1860,1862
G Grimshaw,Quaker,APS,1861,1862
x Hadfield,Quaker,APS,1864,1867
Isaac Hadwen,Quaker,APS,1852,1865
Robert Harding,Quaker,APS,1861,1867
Henry Harris,Quaker,APS,1861,1867
Lydia Harris,Quaker,APS,1840,1862
Thomas Harvey,Quaker,APS,1852,1867
George Head,Quaker,APS,1838,1865
Sarah Head,Quaker,APS,1859,1867
H Headley,Quaker,APS,1860,1860
W Hewitson,Quaker,APS,1860,1860
Charles Hicks,Quaker,APS,1862,1867
Elizabeth Hills,Quaker,APS,1863,1867
James Hills,Quaker,APS,1861,1861
John Hills,Quaker,APS,1853,1864
Gurney Hoare,Quaker,APS,1838,1840
Maria Hooper,Quaker,APS,1860,1862
J Hopkins,Quaker,APS,1839,1860
Rebecca Hopkins,Quaker,APS,1860,1867
Mary Horsnail,Quaker,APS,1851,1857
Elizabeth Howard (2),Quaker,APS,1860,1867
Elizabeth Howard,Quaker,APS,1851,1865
Thomas Hughes,Quaker,APS,1867,1867
Henry Hunt,Quaker,APS,1838,1861
T Hunt,Quaker,APS,1862,1862
J Hurnard,Quaker,APS,1860,1861
John C Isaac,Quaker,APS,1855,1867
John James,Quaker,APS,1860,1860
Charles Janson,Quaker,APS,1861,1866
Samuel Jesper,Quaker,APS,1851,1852
Benjamin Jowett (2),Quaker,APS,1852,1867
John Jun Jowett,Quaker,APS,1851,1851
Robert Jowett (2),Quaker,APS,1852,1862
John King,Quaker,APS,1860,1862
Samuel King,Quaker,APS,1860,1867
Thomas King,Quaker,APS,1838,1840
Alfred Kitching,Quaker,APS,1860,1866
C Knight,Quaker,APS,1839,1839
John Lee,Quaker,APS,1851,1865
x Leitch,Quaker,APS,1847,1849
Thomas Letchmore,Quaker,APS,1860,1860
Thomas x Jun Letchmore,Quaker,APS,1860,1860
Thomas Letchworth,Quaker,APS,1862,1867
Thomas Jun Letchworth,Quaker,APS,1864,1866
Thomas x Jun Letchworth,Quaker,APS,1862,1865
S Lloyd,Quaker,APS,1865,1865
Edward Lucas,Quaker,APS,1852,1867
Rebecca Lucas,Quaker,APS,1851,1867
Thomas Marriage,Quaker,APS,1861,1862
John Marsh,Quaker,APS,1860,1867
R Marsh,Quaker,APS,1860,1861
William Matthews,Quaker,APS,1862,1866
William Mattravers,Quaker,APS,1839,1840
D Miller,Quaker,APS,1853,1859
John Morrison,Quaker,APS,1839,1851
E Neave,Quaker,APS,1861,1861
Mary Overend,Quaker,APS,1851,1855
W J Palmer,Quaker,APS,1862,1866
J Pears,Quaker,APS,1839,1851
Edward Priestman (2),Quaker,APS,1866,1866
John Priestman,Quaker,APS,1852,1862
James Ransome,Quaker,APS,1839,1862
Robert Ransome,Quaker,APS,1839,1865
William Rathbone,Quaker,APS,1839,1867
J Jun Read,Quaker,APS,1839,1840
Edward Richardson,Quaker,APS,1839,1861
Henry Richardson,Quaker,APS,1860,1867
W Richardson,Quaker,APS,1860,1861
R M Rickman,Quaker,APS,1862,1862
S Rickman,Quaker,APS,1838,1838
J Rooke,Quaker,APS,1860,1860
Alfred Rosling,Quaker,APS,1861,1866
John S Rowntree,Quaker,APS,1866,1866
Joseph Rowntree,Quaker,APS,1851,1855
Samuel Rundall,Quaker,APS,1839,1839
Henry Russell,Quaker,APS,1851,1853
Joseph Sams,Quaker,APS,1838,1855
J A Sanders,Quaker,APS,1861,1861
Mary Sansom,Quaker,APS,1855,1855
Micheal Scatterthwaite,Quaker,APS,1861,1861
S Scatterthwaite,Quaker,APS,1861,1862
Benjamin Seebohm,Quaker,APS,1865,1866
William Seebohm,Quaker,APS,1839,1861
Charles Sessions,Quaker,APS,1859,1866
Robert Simpson,Quaker,APS,1860,1867
Alfred Smith,Quaker,APS,1862,1862
Edward Smith,Quaker,APS,1862,1865
